Title,Authors,Platform,Cited_url,Cited_count,Year
Story of single-molecule detection and spectroscopy and the surprises leading to super-resolution microscopy and beyond,W Moerner,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 253,,0,2017
Removal of single-molecule localization bias using a metasurface polarization filter,"M Backlund, A Arbabi, P Petrov, E Arbabi, S Saurabh, A Faraon, ...",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 252,,0,2016
Story of single molecules and the surprises leading to super-resolution microscopy and beyond,W Moerner,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 252,,0,2016
Multicolor single-molecule imaging by spectral point-spread-function engineering (Conference Presentation),"Y Shechtman, LE Weiss, AS Backer, WE Moerner","Single Molecule Spectroscopy and Superresolution Imaging IX 9714, 97140L",,0,2016
3D Single-Molecule Super-Resolution Fluorescence Microscopy with the Corkscrew Point Spread Function,"M Lee, M Lew, A von Diezmann, L Weiss, Y Shechtman, WE Moerner","Biophysical Journal 110 (3), 176a",,0,2016
"Seeing Single Molecules, from Early Spectroscopy in Solids, to Super-Resolution Microscopy, to 3D Dynamics of Biomolecules in Cells",WE Moerner,"Biophysical Journal 110 (3), 4a",,0,2016
Three-Dimensional Super-Resolution Imaging of the RNA Degradation Machinery in Caulobacter Crescentus,"CA Bayas, JM Schrader, MK Lee, L Shapiro, WE Moerner","Biophysical Journal 110 (3), 163a-164a",,0,2016
Removing orientation-induced localization biases in single-molecule microscopy using a broadband metasurface mask,"A Faraon, WE Moerner",,,0,2016
Two-color fast scanning STED microscopy of live bacteria cells.,"CJ Comerci, S Saurabh, AM Perez, L Shapiro, WE Moerner",MOLECULAR BIOLOGY OF THE CELL 27,,0,2016
"A genetically-directed, photostable fluoromodule for sub-diffraction imaging and single protein tracking in live bacteria.","S Saurabh, AM Perez, CJ Comerci, L Shapiro, WE Moerner",MOLECULAR BIOLOGY OF THE CELL 27,,0,2016
Super-resolution microscopy reveals protuberance at the ciliary tip when retrograde transport is impaired.,"J Yoon, L Milenkovic, LE Weiss, T Stearns, WE Moerner",MOLECULAR BIOLOGY OF THE CELL 27,,0,2016
Single-molecule microscopy reveals constrained diffusion by a polar matrix microdomain.,"A von Diezmann, K Lasker, TH Mann, L Shapiro, WE Moerner",MOLECULAR BIOLOGY OF THE CELL 27,,0,2016
A Diffusion Trap at the Caulobacter Cell Poles Leads to Spatially Resolved Transcription.,"K Lasker, A von Diezmann, DG Ahrens, TH Mann, WE Moerner, L Shapiro",MOLECULAR BIOLOGY OF THE CELL 27,,0,2016
Light Paves the Way to Single-Molecule Detection and Photocontrol: Foundations for Super-Resolution Microscopy,WE Moerner,"Nonlinear Optics, NW1A. 1",,0,2015
EMBO/EMBL Symposium-Seeing is Believing: Submit your Abstract by 10th July,"E Betzig, SW Hell, WE Moerner",,,0,2015
An azimuthal polarizer assures localization accuracy in single-molecule super-resolution fluorescence microscopy,"MD Lew, WE Moerner","CLEO: Science and Innovations, STh4K. 2",,0,2015
Maximally informative point spread functions for 3D super-resolution imaging,"Y Shechtman, SJ Sahl, AS Backer, WE Moerner","CLEO: Science and Innovations, STh4K. 3",,0,2015
"Single-molecule spectroscopy, imaging, and photocontrol: foundations for super-resolution microscopy (Presentation Video)",WE Moerner,"Single Molecule Spectroscopy and Superresolution Imaging VIII 9331, 93311E",,0,2015
Optimal Point Spread Function for 3D High-Precision Imaging,"Y Shechtman, SJ Sahl, LE Weiss, AS Backer, WE Moerner","Novel Techniques in Microscopy, NM2C. 2",,0,2015
Pupil Plane Modulation to Extract Information from Single-Molecule Emitters for Super-Resolution Microscopy,WE Moerner,"Optical Molecular Probes, Imaging and Drug Delivery, JM1A. 1",,0,2015
Detecting biomolecular interactions and photodynamics in solution by suppression of Brownian motion,"W Moerner, Q Wang, G Schlau-Cohen, HY Yang",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 249,,0,2015
Motion of chromosomal loci and the mean-squared displacement of a fractional Brownian motion in the presence of static and dynamic errors,"MP Backlund, WE Moerner","Single Molecule Spectroscopy and Superresolution Imaging VIII 9331, 933106",,0,2015
Single-molecule exploration of photoprotective mechanisms in light-harvesting complexes,"HY Yang, GS Schlau-Cohen, M Gwizdala, T Krüger, P Xu, R Croce, ...","Single Molecule Spectroscopy and Superresolution Imaging VIII 9331, 933109",,0,2015
"Light and Single-Molecule Spectroscopy, Imaging, and Photocontrol: Foundations for Super-Resolution Microscopy",WE Moerner,Bulletin of the American Physical Society 60,,0,2015
Pigment-Specific Fluorescence Spectroscopy of Single Antenna Complexes in Solution,"Q Wang, WE Moerner","Biophysical Journal 108 (2), 368a",,0,2015
"The story of single molecules, from early spectroscopy in solids, to super-resolution microscopy, to 3D dynamics of biomolecules in cells.",WE Moerner,MOLECULAR BIOLOGY OF THE CELL 26,,0,2015
Single-molecule tracking of smoothened in the primary cilium,"J Yoon, LE Weiss, L Milenkovic, TL Roth, SS YouRong, SJ Steffen, ...",MOLECULAR BIOLOGY OF THE CELL 26,,0,2015
Single-molecule tracking and super-resolution imaging reveal a diffusion trap at the poles of Caulobacter crescentus,"A von Diezmann, TH Mann, K Lasker, L Shapiro, WE Moerner",MOLECULAR BIOLOGY OF THE CELL 26,,0,2015
"Superresolution techniques, biophysics with nanostructures, and fluorescence energy transfer: general discussion","T Cordes, W Moerner, M Orrit, LM Needham, S Sekatskii, S Faez, ...","Faraday discussions 184, 143-162",,0,2015
Nobelpreis für Chemie: Faszinierende Blicke in die Nanowelt,"E Betzig, SW Hell, WE Moerner, C Eggeling, L Kador, M Sauer, K Welter",Chemie in Unserer Zeit 48 (6),,0,2014
Nobel Prize in Chemistry: Fascinating glimpses into the nanoworld,"E Betzig, SW Hell, WE Moerner, C Eggeling, L Kador, M Sauer, K Welter",Chemie in Unserer Zeit 48 (6),,0,2014
"Stimulated emission depletion (STED) microscopy reveals a sub-diffraction, 9-fold symmetric domain containing Cby1, Ahi1, and Ofd1 at the centriole-cilium interface","C Comerci, YL Lee, T Stearns, WE Moerner",MOLECULAR BIOLOGY OF THE CELL 25,,0,2014
Single-molecule tracking of Smoothened reveals binding in the primary cilium that is altered by pathway agonists.,"LE Weiss, L Milenkovic, J Yoon, SJ Sahl, MP Scott, WE Moerner",MOLECULAR BIOLOGY OF THE CELL 25,,0,2014
Information and Announcements,"J O'Keefe, MB Moser, EI Moser, I Akasaki, H Amano, S Nakamura, ...","Resonance, 1066",,0,2014
Optimal Point Spread Function Engineering for 3D Super-Resolution Imaging,"Y Shechtman, SJ Sahl, AS Backer, WE Moerner","Frontiers in Optics, FM3E. 2",,0,2014
Imaging-based approaches to the aggregationprone mutant huntingtin protein in cellular contexts,"S Sahl, W Vonk, L Weiss, L Lau, J Frydman, W Moerner",The Febs Journal 281,,0,2014
Multivariate single-molecule dynamics in solution by suppression of Brownian motion,WE Moerner,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 248,,0,2014
Single-molecule orientation measurements with a quadrated pupil,"AS Backer, MP Backlund, MD Lew, AR Diezmann, SJ Sahl, WE Moerner","Single Molecule Spectroscopy and Superresolution Imaging VII 8950, 89500L",,0,2014
Sensing the Association States of Single Biomolecules by Motion Analysis in an Electrokinetic Trap,"Q Wang, WE Moerner","Biophysical Journal 106 (2), 394a",,0,2014
Precise Measurement of the Relative Position of RNA Dimers within Virus-Like Particles using 2-Color 3D Super-Resolution Fluorescence Microscopy,"MD Lew, OA Nikolaitchik, WS Hu, WE Moerner","Biophysical Journal 106 (2), 399a",,0,2014
Quantitative Registration and Distribution Analysis of Multicolor 3D Super-Resolution Images of Proteins Reveals Nanoscale Spatial Organization,"ARS von Diezmann, A Gahlmann, JL Ptacin, L Shapiro, WE Moerner","Biophysical Journal 106 (2), 203a",,0,2014
Elucidation of the Photodynamics of Single Photosynthetic LH2 Complexes in Solution,"GS Schlau-Cohen, Q Wang, J Southall, RJ Cogdell, WE Moerner","Biophysical Journal 106 (2), 27a",,0,2014
Single-Molecule Exploration of the Photodynamics of LHCII Complexes in Solution,"GS Schlau-Cohen, HY Yang, M Gwizdala, T Krüger, P Xu, R Croce, ...","Biophysical Journal 106 (2), 182a",,0,2014
Correlations in Chromatin Movement in Diploid Yeast Revealed by Two-Color Three-Dimensional Single-Particle Tracking using the Double-Helix Point Spread Function (DH-PSF …,"M Backlund, R Joyner, K Weis, WE Moerner","Biophysical Journal 106 (2), 199a",,0,2014
Quantifying the Spatial Organization of Bacterial Ribosomes using Three-Dimensional Super-Resolution Microscopy,"M Lee, J Schrader, GW Li, J Weissman, H McAdams, L Shapiro, ...","Biophysical Journal 106 (2), 492a",,0,2014
DNA Segregation and Partitioning in Caulobacter Crescentus: Super-Resolving Protein Colocalization at the Cell Pole,"A Gahlmann, JL Ptacin, ARS von Diezmann, L Shapiro, WE Moerner","Biophysical Journal 106 (2), 59a-60a",,0,2014
Single-Molecule Tracking of Smoothened in the Primary Cilium,"LE Weiss, L Milenkovic, SJ Sahl, TL Roth, MP Scott, WE Moerner","Biophysical Journal 106 (2), 20a",,0,2014
Optical Methods for Measuring Single-Molecule Orientation and Position: Implications for Super-Resolution Microscopy,"MD Lew, MP Backlund, AS Backer, WE Moerner","Frontiers in Optics, FW6A. 6",,0,2013
Elucidation of the photodynamics of single LH2 proteins in solution,"GS Schlau-Cohen, J Southall, RJ Cogdell, WE Moerner",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 246,,0,2013
Super-resolution fluorescence imaging of intracellular mutant huntingtin protein reveals a population of fibrillar aggregates co-existing with compact perinuclear inclusion bodies,"SJ Sahl, LE Weiss, L Lau, J Frydman, WE Moerner","Molecular neurodegeneration 8 (1), O18",,0,2013
Webinar: Fluorescent Probes and Digital Imaging: Where We Are and Where We're Going,"M Bruchez, WE Moerner, AS Waggoner",,,0,2013
Fluorescent Probes and Digital Imaging: Where We Are and Where We're Going,"A Waggoner, WE Moerner, M Bruchez","Science 340 (6137), 1247-1247",,0,2013
Award Address (Peter Debye Award in Physical Chemistry sponsored by EI du Pont de Nemours & Company). Single-molecule spectroscopy and imaging: 3D nanoscopy and biomolecular …,WE Moerner,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 245,,0,2013
Corrigendum to'Fluorescence Correlation Spectroscopy at High Concentrations using Gold Bowtie Nanoantennas'[Chem. Phys. 406C (2012) 3-8],"AA Kinkhabwala, Z Yu, S Fan, WE Moerner","Chemical Physics 415, 309-309",,0,2013
Biophysical Variables Which Are Available from Single-Molecule Optical Studies,WE Moerner,APS March Meeting Abstracts,,0,2013
Anti-Brownian Traps,"AE Cohen, WE Moerner","Encyclopedia of Biophysics, 94-97",,0,2013
Enzymatic Activation of Nitro-Aryl Fluorogens in Live Cells for Turnover Activated Localization Microscopy: 187,"M Lee, J Williams, R Twieg, J Rao, W Moerner",Protein Science 21,,0,2012
QnAs with WE Moerner. Interview by Prashant Nair.,WE Moerner,Proceedings of the National Academy of Sciences of the United States of …,,0,2012
Watching dynamical processes for single biomolecules in solution,WE Moerner,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 243,,0,2012
Sensing Cooperativity in ATP Hydrolysis for Single Multisubunit Enzymes in Solution,"Y Jiang, NR Douglas, NR Conley, EJ Miller, J Frydman, WE Moerner","Biophysical Journal 102 (3), 178a",,0,2012
Single-Molecule Studies of Trapped Biomolecules in Solution with the ABEL Trap,WE Moerner,"Biophysical Journal 102 (3), 4a",,0,2012
"Two-color, 3D super-resolution imaging of bacterial protein ultrastructures with the double-helix point-spread function microscope.","A Gahlmann, JL Ptacin, G Grover, R Piestun, L Shapiro, WE Moerner",MOLECULAR BIOLOGY OF THE CELL 23,,0,2012
Resolving structural features in biological and biomedical imaging with STED super-resolution microscopy.,"L Lau, YL Lee, SJ Sahl, LE Weiss, T Stearns, WE Moerner",MOLECULAR BIOLOGY OF THE CELL 23,,0,2012
STED super-resolution microscopy of multiciliated respiratory epithelial cells reveals structural organization of centriole and cilia components.,"Y Lee, L Lau, SJ Sahl, WE Moerner, T Steams",MOLECULAR BIOLOGY OF THE CELL 23,,0,2012
An Adaptive Anti-Brownian Electrokinetic Trap for Prolonged Observation of Single Molecules in Solution,"Q Wang, WE Moerner","Frontiers in Optics, FTuS3",,0,2011
Optical Explorations of Single Biomolecules and Enzymes in Solution with an Anti-Brownian Electrokinetic Trap,"WE Moerner, S Bockenhauer, R Goldsmith, Y Jiang, Q Wang","Frontiers in Optics, FTuE1",,0,2011
Studying Subunit Cooperativity by Counting Hydrolyzed ATP on Single Chaperonin Nanomachines in Solution,"Y Jiang, N Douglas, N Conley, E Miller, J Frydman, WE Moerner","Frontiers in Optics, FTuO6",,0,2011
Super-Resolution 3D Co-Localization of Protein Superstructures and the Cellular Surface in Live Caulobacter crescentus,"MD Lew, SF Lee, JL Ptacin, MK Lee, L Shapiro, WE Moerner","Frontiers in Optics, FTuH2",,0,2011
Live-cell single-molecule and super-resolution imaging in bacteria,"B Coupland, BL Haas, E Hoye, N Koropatkin, J Matson, V DiRita, ...",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 242,,0,2011
Single-molecule studies of biomolecular dynamics in solution and fluorescence enhancements by metallic nanoantennas,WE Moerner,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 242,,0,2011
Analyzing 3D stochastic dynamics in live cells via new single particle tracking methods,"C Calderon, M Thompson, WE Moerner",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 242,,0,2011
Three-Dimensional Super-Resolution Imaging with a Corkscrew Point Spread Function,"MD Lew, SF Lee, WE Moerner","Novel Techniques in Microscopy, NMB2",,0,2011
Optical Tracking Microscopy and Super-Resolution Imaging of Living Cells Beyond the Diffraction Limit,WE Moerner,"Novel Techniques in Microscopy, NMB1",,0,2011
Single Fluorescent Molecules as Nano-Illuminators for Biological Structure and Function,WE Moerner,APS March Meeting Abstracts,,0,2011
Lehrstuhl Experimentalphysik IV,"AG Kador, TJ Pflock, S Oellerich, L Krapf, J Southall, RJ Cogdell, ...","J. Phys. Chem. B 115, 8821-8831",,0,2011
"Corrigendum to “Modifications of DCDHF single molecule fluorophores to impart water solubility”[Tetrahedron Letters, 48 (2007) 3471–3474]","H Wang, Z Lu, SJ Lord, WE Moerner, RJ Twieg","Tetrahedron Letters 43 (52), 5711",,0,2011
Suppression of Brownian Motion Explores Cooperativity for Single Multi-Subunit Enzymes in Solution,"Y Jiang, N Douglas, N Conley, E Miller, J Frydman, WE Moerner","Frontiers in Optics, FTuM1",,0,2010
INAUGURAL ARTICLE by a Recently Elected Academy Member: Three-dimensional tracking of single mRNA particles in Saccharomyces cerevisiae using a double-helix point spread function,"MA Thompson, JM Casolari, M Badieirostami, PO Brown, WE Moerner",Proceedings of the National Academy of Sciences of the United States of …,,0,2010
Molecules and methods for superresolution imaging in living cells,WE Moerner,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 240,,0,2010
Single molecules as nanoscopic probes of 3D structure and metallic nanoantennas,WE Moerner,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 240,,0,2010
Excited state dynamics of solution-phase photosynthetic antenna proteins studied one at a time,"RH Goldsmith, WE Moerner",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 240,,0,2010
"SINGLE MOLECULE APPROACHES TO BIOLOGY, 2010 GORDON RESEARCH CONFERENCE, JUNE 27-JULY 2, 2010, ITALY",W Moerner,GORDON RESEARCH CONFERENCES INC,,0,2010
"Single-molecule approaches for superresolution imaging, trapping, and nanophotonics",WE Moerner,"CLEO/QELS: 2010 Laser Science to Photonic Applications, 1-2",,0,2010
Localizing and Tracking Single Emitters in Three Dimensions Using a Double Helix Point Spread Function,"MA Thompson, MD Lew, M Badieirostami, WE Moerner","Conference on Lasers and Electro-Optics, CThCC3",,0,2010
Photoactivatable Azido Push-Pull Fluorophores for Single-Molecule Imaging in and out of Cells,"SJ Lord, NR Conley, DL Hsiao-lu, MK Lee, N Liu, R Samuel, RJ Twieg, ...","Biophysical Journal 98 (3), 203a",,0,2010
Counting Hydrolyzed ATP On Single Tric Nanomachines in Solution,"Y Jiang, N Douglas, N Conley, J Frydman, WE Moerner","Biophysical Journal 98 (3), 223a",,0,2010
Triblock supramolecules: Small 21/2009,"JK Lee, F Jäckel, WE Moerner, Z Bao",Small 5 (21),,0,2009
Three-Dimensional Superresolution Using Single-Molecule Photoswitches and a Double-Helix PSF,"WE Moerner, M Thompson, M Lew, M Badieirostami, SJ Lord, NR Conley, ...","Computational Optical Sensing and Imaging, CTuD1",,0,2009
Photoactivatable Push-Pull Fluorophores for Single-Molecule Imaging in and out of Cells,"SJ Lord, HLD Lee, NR Conley, MK Lee, MA Thompson, R Samuel, ...","Laser Science, LSWD2",,0,2009
Watching Photophysics in Action: Single-Molecule Solution-Phase studies of a Trapped Photosynthetic Antenna Protein,"RH Goldsmith, Y Jiang, WE Moerner","Laser Science, LSWA4",,0,2009
Determining Single-Molecule ATP Binding Stoichiometry in a Multi-Subunit Enzyme with a Hardware-Based Anti-Brownian Electrokinetic Trap,"Y Jiang, AE Cohen, N Douglas, J Frydman, WE Moerner","Frontiers in Optics, FWM2",,0,2009
An FPGA-based Anti-Brownian Electrokinetic trap for studying single molecules in solution,"Q Wang, A Fuerstenberg, S Bockenhauer, WE Moerner","Laser Science, LSTuF3",,0,2009
Anti-Brownian ELectrokinetic (ABEL) Trapping of Single High Density Lipoprotein (HDL) Particles,"S Bockenhauer, A Fürstenberg, Q Wang, M Bokoch, XJ Yao, B DeVree, ...","Laser Science, JWC16",,0,2009
"Single-Molecule Biophysical Imaging, Superresolution, and Trapping",WE Moerner,"Laser Science, LSWA1",,0,2009
Superresolution imaging of protein superstructures in live Caulobacter crescentus cells with EYFP,"JS Biteen, MA Thompson, NK Tselentis, L Shapiro, WE Moerner",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 238,,0,2009
3D superresolution imaging with double helix photoactivated localization microscopy (DH-PALM),"MA Thompson, SRP Pavani, JS Biteen, SJ Lord, R Piestun, WE Moerner",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 238,,0,2009
Three-dimensional super-resolution single-molecule fluorescence imaging using a double-helix point spread function,"MA Thompson, JS Biteen, WE Moerner, SRP Pavani, R Piestun","International Quantum Electronics Conference, IMG3",,0,2009
Imaging beyond the diffraction limit in cells using single-molecule active control,"WE Moerner, J Biteen, NR Conley, HL Lee, SJ Lord, MA Thompson, ...","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 237, 555-555",,0,2009
Irving Langmuir Prize Talk: Single-Molecule Fluorescence Imaging: Nanoscale Emitters with Photoinduced Switching Enable Superresolution.,WE Moerner,APS March Meeting Abstracts,,0,2009
Single molecule characterization with well-defined contacts,"A Neuhausen, F Jaeckel, J Hiatt, J Sulpizio, D Goldhaber-Gordon, ...",APS Meeting Abstracts,,0,2008
"Single-Molecule Biophysical Imaging, Nanophotonics, and Trapping",WE Moerner,"Laser Science, JMC1",,0,2007
DCDHF fluorophores designed for single-molecule cellular imaging,"SJ Lord, H Wang, N Liu, Z Lu, RJ Twieg, WE Moerner","Frontiers in Optics, FTuD5",,0,2007
PHYS 701-Using feedback to beat the Boltzmann distribution,"A Cohen, WE Moerner",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 234,,0,2007
PHYS 1-Recent progress in single-biomolecule fluorescence imaging,WE Moerner,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 234,,0,2007
Dicyanomethylenedihydrofuran (DCDHF) single molecule fluorophores for cellular applications,"H Wang, Z Lu, SJ Lord, KA Willets, WE Moerner, RJ Twieg",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 233,,0,2007
"1P549 Both MHC class II and its GPI-anchored form undergo hop diffusion as observed by single-molecule tracking (26. Single molecule biophysics, Poster Session, Abstract …","Y Umemura, T Fujiwara, K Suzuki, M Vrljic, SY Nishimura, M WE, ...","Seibutsu Butsuri 46 (supplement2), S284",,0,2006
PHYS 504-Suppressing Brownian motion of individual molecules in solution,"A Cohen, WE Moerner",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 232,,0,2006
ORGN 54-Synthesis and properties of DCDHF chromophore dimers,"N Liu, JA Bertke, SD Bunge, RJ Twieg, SJ Lord, J Alyono, WE Moerner",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 232,,0,2006
PHYS 252-Single-molecule fluorescence imaging reports on biomolecular dynamics,"WE Moerner, A Cohen, NR Conley, SY Kim, A Kinkhabwala, M Koenig, ...",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 232,,0,2006
PHYS 489-Direct observation of MreB treadmilling in Caulobacter by single-molecule fluorescence microscopy,"SY Kim, Z Gitai, A Kinkhabwala, L Shapiro, WE Moerner",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 232,,0,2006
PHYS 496-Lateral movements of single poly (arginine) peptides on the CHO plasma membrane before cellular entry,"H Hwang, SY Kim, E Goun, LR Jones, PA Wender, AN Semyonov, ...",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 232,,0,2006
PHYS 665-An improved single-molecule molecular beacon utilizing H-dimer excitonic behavior,"NR Conley, AH Kurtz, H Wang, RJ Twieg, WE Moerner",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 232,,0,2006
PHYS 476-Progress towards real-time observation of T7 DNA polymerase activity by single-molecule fluorescence spectroscopy,"AH Kurtz, ET Kool, WE Moerner",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 232,,0,2006
PHYS 484-DCDHF dyes can probe environmental changes by protein binding in GroEL,"SY Kim, J Cui, Z Lu, AN Semyonov, RW Twieg, WE Moerner",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 232,,0,2006
COLL 60-Single-molecule fluorescence tracking probes membrane dynamics,"WE Moerner, H Hwang, SY Kim, A Kinkhabwala, S Nishimura",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 232,,0,2006
PHYS 488-DCDHF photophysics: Designing new single-molecule fluorophores for cellular imaging,"SJ Lord, Z Lu, H Wang, J Alyono, N Liu, R Weber, RJ Twieg, WE Moerner",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 232,,0,2006
COLL 101-Exploring surface-enhanced Raman scattering using gold bowtie nanoantennae,"F Jaeckel, A Kinkhabwala, A Sundaramurthy, PJ Schuck, DP Fromm, ...",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 232,,0,2006
The influence of tetrahydroquinoline rings in dicyanodihydrofuran (DCDHF) fluorophores,"H Wang, Z Lu, RJ Twieg, SJ Lord, WE Moerner",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 231,,0,2006
Synthesis and properties of the highly environment sensitive fluorophores 2-cyano and 2-propionyl-6-dihexylaminoanthracene (ANTHRADAN),"Z Lu, H Wang, SJ Lord, WE Moerner, RJ Twieg",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 231,,0,2006
Motion of single MreB bacterial actin proteins in\textit {Caulobacter} show treadmilling in vivo,"WE Moerner, SY Kim, Z Gitai, A Kinkhabwala, H McAdams, L Shapiro",Bulletin of the American Physical Society,,0,2006
Motion of single MreB bacterial actin proteins in Caulobacter show treadmilling in vivo,"WE Moerner, S Kim, Z Gitai, A Kinkhabwala, H McAdams, L Shapiro",APS Meeting Abstracts,,0,2006
Single-molecule detection of efflux pump machinery in ,"YR Yang, HH Liu, A Rahmat, S Edrini, P Ismail, TYY Hin, MFA Bakar, ...","Biotechnology 11 (2), 1005-1010",,0,2006
"RAPID COMMUNICATIONS-Quantum optics, physics of lasers, nonlinear optics-Scanning interferometric microscopy for the detection of ultrasmall phase shifts in condensed matter","J Hwang, MM Fejer, WE Moerner","Physical Review-Section A-Atomic Molecular and Optical Physics 73 (2), 21802R",,0,2006
Nanophotonics and Single Molecules,"WE Moerner, PJ Schuck, D Fromm, A Sundaramurthy, G Kino","Laser Science, LTuC4",,0,2005
Recent Advances in Photorefractive Organic Materials,"O Ostroverkhova, WE Moerner, Z Chen, M Asaro, M Sheldon, M He, ...","Photorefractive Effects, Materials, and Devices, 307",,0,2005
Gold bowtie nanoantennas: improving the mismatch between light and nanoscale objects,"PJ Schuck, DP Fromm, WE Moerner, A Sundaramurthy, G Kino","2005 Quantum Electronics and Laser Science Conference 1, 96-98",,0,2005
MEASUREMENT OF NANOSTRUCTURES WITH MICROMACHINED MICROSCOPES,"GS KINO, WE MOERNER","EL GINZTON LAB, STANFORD UNIVERSITY",,0,2005
Evidence for condensed complexes in the plasma membrane,"SY Nishimura, M Vrljic, HM McConnell, WE Moerner","BIOPHYSICAL JOURNAL 88 (1), 75A-75A",,0,2005
"High-resolution anatomy of a progressively pinching cell division distinct constrictive processes, separated in time and space, divide caulobacter inner and outer membranes …","JR MADDOCK, EM JUDD, LR COMOLLI, JC CHEN, KH DOWNING, ...","Journal of bacteriology 187 (20), 6874-6882",,0,2005
"Surface physics, nanoscale physics, low-dimensional systems-Field enhancement and gap-dependent resonance in a system of two opposing tip-to-tip Au nanotriangles","A Sundaramurthy, KB Crozier, GS Kino, DP Fromm, PJ Schuck, ...","Physical Review-Section B-Condensed Matter 72 (16), 165409-165409",,0,2005
Single molecule sensors of local environment.,"KA Willets, PR Callis, M He, H Wang, RJ Twieg, WE Moerner","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 228, U270-U270",,0,2004
Cholesterol depletion suppresses the translational diffusion of class II MHC proteins in the plasma membrane.,"S Nishimura, M Vrljic, HM McConnell, WE Moerner","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 228, U292-U292",,0,2004
Visualizing single-molecule dynamics in cells.,WE Moerner,"ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 228, U300-U300",,0,2004
Two-photon fluorescence microscopy of single-molecule emitters based on nonlinear optical chromophores.,"PJ Schuck, KA Willets, DP Fromm, RJ Twieg, WE Moerner","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY 228, U270-U271",,0,2004
Spectral study of enhanced transmission through single C-shaped nano-apertures,"JA Matteo, DP Fromm, Y Yuen, PJ Schuck, WE Moerner, L Hesselink","International Quantum Electronics Conference, IWA34",,0,2004
Soliton-induced waveguides in a photorefractive organic glass,"M Asaro, M Sheldon, Z Chen, O Ostroverkhova, WE Moerner, M He, ...","Conference on Lasers and Electro-Optics, 2004.(CLEO). 1, 2 pp. vol. 1",,0,2004
Mechanisms of Photorefractivity in Polymeric Materials,"JS Siegel, WE Moerner",CALIFORNIA UNIV SAN DIEGO LA JOLLA DEPT OF CHEMISTRY AND BIOCHEMISTRY,,0,2004
Semiconductor Lasers-Integrated Semiconductor Vertical-Cavity Surface-Emitting Lasers and PIN Photodetectors for Biomedical Fluorescence Sensing,"E Thrush, O Levi, W Ha, G Carey, LJ Cook, J Deich, SJ Smith, ...","IEEE Journal of Quantum Electronics 40 (5), 491-498",,0,2004
Spectroscopic investigations into autofluorescent proteins from the ensemble to the single-molecule level,J Deich,Stanford University,,0,2004
Enhancement of the Blue Fluorescent Protein's,"WE Moerner, SG Boxer","Ultrafast excited-state dynamics of chromophore-containing proteins, 13",,0,2004
